hierarchical_allreduce,hierarchical_allgather,cache_enabled,cycle_time_ms,tensor_fusion_threshold,score
0,0,0,5,4,6928.37
0,0,0,50,32,3308.8
0,0,0,25,16,3963.38
0,0,0,10,8,4930.51
0,0,0,9.20412,0.10432,5349.29
0,0,0,4.99998,3.99997,6542.37
0,0,0,4.99999,4,6314.75
0,0,0,4.86472,4.21835,6721.16
0,0,0,44.5138,56.5064,3715.72
0,0,0,1.61703,14.5465,7246.19
0,0,0,8.46665,21.674,5820.39
0,0,0,4.07903,4.74546,6651.49
0,0,0,1.61852,14.5423,7143.98
0,0,0,10.8345,41.5242,5690.03
0,0,0,85.4541,11.8638,1937.7
0,0,0,1.00115,3.2788,7076.6
0,0,0,92.6692,58.2726,1786.94
0,0,0,32.6362,7.23504,3795.77
0,0,0,20.6902,36.9043,4774.7
0,0,0,34.1474,62.373,3630.54
0,0,0,1.00078,13.3585,6969.29
1,0,0,5,4,4044.08
1,0,0,50,32,2481.93
1,0,0,25,16,3199.01
1,0,0,10,8,3612.36
1,0,0,12.8627,0.818288,3665.95
1,0,0,15.2941,4.62777,3934.93
1,0,0,49.8559,20.2672,2488.86
1,0,0,98.7174,63.894,1677.56
1,0,0,96.8153,15.0618,1710.53
1,0,0,42.3395,44.5424,2930.41
1,0,0,48.4428,62.7556,2502.26
1,0,0,33.9265,58.5696,3590.04
1,0,0,46.7854,3.20554,2576.45
1,0,0,39.5863,56.9751,3133.6
1,0,0,32.6,52.3757,3707.44
1,0,0,24.6498,14.1412,3727.06
1,0,0,31.5905,19.9838,3526.62
1,0,0,38.9363,4.71212,2934.11
1,0,0,25.52,13.5631,3600.84
1,0,0,33.5056,48.246,3623.95
1,0,0,26.4414,15.4349,3380.23
0,1,0,5,4,6578.19
0,1,0,50,32,3309.32
0,1,0,25,16,3963.93
0,1,0,10,8,5392.04
0,1,0,33.1252,32.9822,2995.2
0,1,0,4.99994,4.00013,6552.24
0,1,0,62.3333,55.8956,2655.34
0,1,0,58.9177,17.7399,2809.07
0,1,0,63.8919,7.8662,2589.82
0,1,0,7.42902,11.8575,5810.58
0,1,0,18.7352,63.9995,5283.59
0,1,0,12.3599,63.9942,5693.41
0,1,0,4.99998,4.00005,6544.01
0,1,0,84.5432,6.65645,1958.47
0,1,0,8.56598,0.000836521,5812.09
0,1,0,8.17993,10.7975,6019.72
0,1,0,99.1901,60.0572,1669.6
0,1,0,49.9945,62.1868,3309.2
0,1,0,26.1352,22.603,3792.01
0,1,0,30.2457,63.6339,3997.08
0,1,0,21.1335,0.0501888,4685.61
1,1,0,5,4,4453.65
1,1,0,50,32,2481.58
1,1,0,25,16,3558.39
1,1,0,10,8,3899.66
1,1,0,65.9441,44.2919,1881.45
1,1,0,5.00003,4.00026,4096.65
1,1,0,5.00146,3.99895,3978.26
1,1,0,26.2213,17.862,3434.29
1,1,0,1.5456,57.0121,4752.46
1,1,0,1.64954,62.1661,4682.63
1,1,0,1.00594,28.8703,4789.37
1,1,0,1.00483,30.1744,4784.07
1,1,0,99.9294,0.0331086,1657.8
1,1,0,41.4224,62.1787,2988.84
1,1,0,1.00006,62.85,4657.67
1,1,0,33.4475,55.6599,3311.41
1,1,0,23.3006,26.6444,3356.87
1,1,0,25.9614,63.3522,3379.46
1,1,0,1.01796,35.1264,4762.93
1,1,0,92.4574,63.6851,1790.93
1,1,0,22.0057,51.2462,3405.26
0,0,1,5,4,6991.06
0,0,1,50,32,3309.2
0,0,1,25,16,3963.26
0,0,1,10,8,4934.2
0,0,1,12.8938,9.10073,4788.39
0,0,1,99.6563,62.9485,1661.9
0,0,1,7.16307,0.01244,6592.06
0,0,1,11.9742,5.90382,5159.11
0,0,1,10.3296,45.9965,5884.7
0,0,1,7.0175,58.9612,6908.02
0,0,1,15.029,2.49834,5069.78
0,0,1,2.47669,4.4994,6724.09
0,0,1,93.243,5.29654,1776.01
0,0,1,24.0928,63.9419,4112.49
0,0,1,28.7468,2.95888,3448.29
0,0,1,34.4799,34.2277,3595.89
0,0,1,31.7963,61.3884,3897.39
0,0,1,22.3861,49.9815,4423.94
0,0,1,4.38677,0.0724838,6608.13
0,0,1,21.1035,58.5901,4692.59
0,0,1,1,26.344,7455.46
1,0,1,5,4,4304.83
1,0,1,50,32,2469.92
1,0,1,25,16,3482.44
1,0,1,10,8,4067.36
1,0,1,10.3141,7.95142,4099.5
1,0,1,53.045,40.7223,2333.74
1,0,1,67.9793,41.8253,1873.1
1,0,1,75.7826,0.00189866,1638.62
1,0,1,95.1527,56.8788,1735.94
1,0,1,52.295,63.6678,2373.21
1,0,1,36.7125,52.5552,3376.86
1,0,1,47.0453,0.992342,2555.43
1,0,1,43.3954,6.34848,2729.45
1,0,1,33.6032,3.71304,3262.47
1,0,1,35.6338,25.7414,3350.17
1,0,1,44.7693,61.9629,2694.55
1,0,1,27.238,12.658,3158.35
1,0,1,28.1203,43.1104,3296.26
1,0,1,29.1819,53.5571,2964.36
1,0,1,30.4373,45.2218,2946.5
1,0,1,26.1361,43.6726,3744.5
0,1,1,5,4,6995.29
0,1,1,50,32,3308.9
0,1,1,25,16,3963.53
0,1,1,10,8,5476.2
0,1,1,5,4,6769.73
0,1,1,30.8213,0.278402,3217.16
0,1,1,78.9236,36.3567,2097.99
0,1,1,99.214,19.5576,1669.24
0,1,1,15.5836,6.33969,4532.45
0,1,1,5,4,6519.39
0,1,1,16.9575,1.81355,4862.88
0,1,1,14.3937,3.87682,4906.37
0,1,1,82.9613,57.9744,1995.85
0,1,1,1.00406,12.5147,7675.65
0,1,1,34.1176,34.8173,3634.11
0,1,1,42.7113,56.6828,3872.12
0,1,1,28.5639,42.3621,4337.52
0,1,1,35.4816,61.381,3494.31
0,1,1,20.7078,33.7415,4780.98
0,1,1,20.376,22.3001,4865.67
0,1,1,18.0332,14.8267,5488.02
1,1,1,5,4,4276.16
1,1,1,50,32,2452.98
1,1,1,25,16,3580.34
1,1,1,10,8,3876.9
1,1,1,14.4117,7.68345,3704.93
1,1,1,10.737,12.8209,3852.63
1,1,1,5.57252,4.47871,3874.03
1,1,1,31.8853,63.6808,3681.68
1,1,1,35.8374,26.9527,3273.57
1,1,1,60.9724,42.7333,2035.86
1,1,1,76.448,36.4003,2102.85
